- name tand_om_tand; moonlat -69.98349472644182; moonlng 160.14211146687933; score 341.38054856451777; timestamp 2018-05-26 14:15:01.680921; status received; version 2; 
- name tand_om_tand; moonlat 61.86188739419853; moonlng -170.23536606117977; score 186.71624751152612; timestamp 2018-05-26 14:16:44.979306; status received; version 2; 
- name tand_om_tand; moonlat 11.881031543467625; moonlng -132.34354371174967; score 265.6396026059378; timestamp 2018-05-26 14:16:46.061898; status received; version 2; 
- name tand_om_tand; moonlat 11.995355038590475; moonlng -9.355090018390015; score 772.6860967890163; timestamp 2018-05-26 14:16:46.675653; status received; version 2; 
- name tand_om_tand; moonlat 13.270415440206264; moonlng -6.667231194251931; score 840.323538859569; timestamp 2018-05-26 14:16:55.342544; status received; version 2; 
- name tand_om_tand; moonlat 36.090276402473265; moonlng 93.15500551932774; score 306.21509511145274; timestamp 2018-05-26 14:21:46.323020; status received; version 2; 
- name tandomtand; moonlat 7.763626031024913; moonlng 0; score 654.8709177489944; timestamp 2018-05-26 14:40:12.621119; status received; version 2; 
- name tandomtand; moonlat 6.61888449689738; moonlng 0; score 664.4946843899054; timestamp 2018-05-26 14:40:30.188062; status received; version 2; 
- name sven@i; moonlat -76.91280625078831; moonlng -153.72370781303454; score 210.20709381487137; timestamp 2018-05-26 14:40:44.232598; status received; version 2; 
- name sven@i; moonlat 63.44344516546528; moonlng -139.98541430614125; score 267.3062938906457; timestamp 2018-05-26 14:40:44.835416; status received; version 2; 
- name sven@i; moonlat 0; moonlng -65.92023019923651; score 301.4486140772302; timestamp 2018-05-26 14:40:45.355194; status received; version 2; 
- name sven@i; moonlat 53.58556059201686; moonlng 106.63268968641995; score 331.70753742356936; timestamp 2018-05-26 14:40:46.971364; status received; version 2; 
- name sven@i; moonlat 0; moonlng -58.55146347603676; score 374.4741099351816; timestamp 2018-05-26 14:40:53.439993; status received; version 2; 
- name sven@i; moonlat -29.27573173801838; moonlng 21.873338488730468; score 464.41906227531905; timestamp 2018-05-26 14:40:56.786608; status received; version 2; 
- name sven@i; moonlat 15.675534031076339; moonlng 0; score 651.323547774511; timestamp 2018-05-26 14:41:01.905914; status received; version 2; 
- name sven@i; moonlat 29.74798145058186; moonlng -79.09619725640157; score 214.42527570323102; timestamp 2018-05-26 14:42:21.082927; status received; version 2; 
- name sven@i; moonlat 0; moonlng -160.24522049603803; score 276.69073793114956; timestamp 2018-05-26 14:42:23.161494; status received; version 2; 
- name sven@i; moonlat 84.51426813552786; moonlng -161.88115108997954; score 183.01167686542453; timestamp 2018-05-26 14:42:34.925090; status received; version 2; 
- name sven@i; moonlat 0.3679258369306524; moonlng 0; score 348.98767726127846; timestamp 2018-05-26 14:42:37.560119; status received; version 2; 
- name sven@i; moonlat 16.08091710423581; moonlng -22.42991829057829; score 563.5871696743181; timestamp 2018-05-26 14:42:41.755354; status received; version 2; 
- name sven@i; moonlat 7.421012362956773; moonlng 0; score 663.4687852368447; timestamp 2018-05-26 14:43:03.642290; status received; version 2; 
